stock_id,name,sector,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,label,rsi,ret_20d,cv_sharpe,cv_win_rate,bias_ma5,bias_ma10,bias_ma20,ma_bull,mom5,mom20,vol20,dist_high60,sector_ret20,sector_strong,chip_dir,taiex_bull,taiex_bias
2382,廣達,AI伺服器,20230504,20230505,89.6,20230627,141.5,MA10,35,57.92,1,67.0,-0.1,-12.59,0.0,1.3437,3.4042,2.7239,,7.0999,-0.1122,2.5872,-2.0902,4.83,1.0,0.0,0.0,-0.19
2408,南亞科,記憶體,20230504,20230505,66.7,20230621,74.6,MA10,33,11.84,1,66.2,2.3,-4.8,0.22,1.432,3.5008,1.9949,,6.0842,2.2556,1.8252,-1.5919,-1.35,0.0,0.0,0.0,-0.19
6239,力成,封測,20230504,20230505,94.3,20230726,110.0,MA10,56,16.65,1,73.9,3.4,-4.65,0.19,1.7517,2.6732,2.2048,,3.8631,3.4066,1.1392,0.0,-4.91,0.0,0.0,0.0,-0.19
4938,和碩,AI伺服器,20230505,20230508,70.3,20230727,77.5,MA10,56,10.24,1,52.1,-0.6,-19.53,0.0,-0.1425,0.2718,-0.0,,0.7184,-0.5674,0.5618,-0.8487,4.23,1.0,0.0,0.0,-0.08
2376,技嘉,AI伺服器,20230508,20230509,139.0,20230626,243.5,MA10,32,75.18,1,54.9,0.7,-3.34,0.0,-0.074,1.4275,0.8592,,3.0534,0.7463,1.965,-2.1739,5.5,1.0,0.0,1.0,0.38
2455,全新,光通訊,20230508,20230509,98.2,20230626,123.0,MA10,32,25.25,1,64.6,4.6,-6.4,0.17,1.8557,4.7831,3.0777,,2.3834,4.5503,3.3741,-1.2,-4.24,0.0,0.0,1.0,0.38
5292,華懋,綠能環保,20230508,20230509,80.5,20230525,0.0,SL,12,-100.0,0,61.2,5.3,-2.2,0.44,1.0638,6.9027,9.5409,,13.3916,5.2703,4.463,-7.4822,5.27,1.0,,1.0,0.38
3406,玉晶光,光學,20230509,20230510,378.0,,,OPEN,,,,51.7,-0.8,0.0,0.0,-0.4209,1.3523,-0.178,,0.1323,-0.7864,1.5953,-9.9881,-3.42,0.0,0.0,1.0,0.52
3711,日月光投控,封測,20230510,20230511,103.5,20230626,126.0,MA10,30,21.74,1,44.8,-6.0,-5.95,0.0,-0.8704,0.3426,-0.6783,,0.9852,-5.9633,1.4933,-8.8889,-6.02,0.0,0.0,0.0,-0.05
6664,群翊,CoPoS封裝,20230510,20230511,107.0,20230627,136.5,MA10,31,27.57,1,82.2,-2.1,-0.17,0.5,3.223,4.6358,4.2675,,4.8673,-2.0661,1.8522,-2.8689,-3.79,0.0,,0.0,-0.05
3406,玉晶光,光學,20230512,20230515,384.5,,,OPEN,,,,58.7,-2.3,0.0,0.0,0.3953,0.6605,0.8737,,-0.1311,-2.3077,1.4981,-9.3936,-2.55,0.0,0.0,0.0,-0.92
2451,創見,記憶體,20230515,20230516,71.5,,,OPEN,,,,54.3,-2.2,-6.4,0.33,0.1403,0.1403,0.3091,,0.7052,-2.1918,0.639,-2.8571,-6.89,0.0,0.0,0.0,-1.09
3711,日月光投控,封測,20230515,20230516,104.0,20230626,126.0,MA10,27,21.15,1,49.3,-2.4,-5.95,0.0,-0.2904,0.1458,0.2189,,-0.9615,-2.3697,0.9132,-8.4444,-5.24,0.0,0.0,0.0,-1.09
3008,大立光,光學,20230516,20230517,2175.0,,,OPEN,,,,86.7,3.1,0.0,0.0,4.3354,6.9597,7.4056,,8.6849,3.0588,1.6079,-10.7943,1.66,0.0,0.0,1.0,0.17
2454,聯發科,IC設計,20230517,20230518,689.0,20231023,821.0,MA10,106,19.16,1,65.3,-0.4,0.0,0.0,1.1518,1.4965,2.1245,,2.5449,-0.436,1.4087,-13.6192,-9.73,0.0,0.0,1.0,1.75
3583,辛耘,CoPoS封裝,20230517,20230518,97.2,20230626,155.0,MA10,25,59.47,1,77.3,7.6,-3.64,0.33,5.6165,5.7229,5.9722,,9.7674,7.6397,1.9194,0.0,-0.34,0.0,,1.0,1.75
2441,超豐,封測,20230518,20230519,54.1,20230810,60.7,MA10,56,12.2,1,69.4,0.0,-2.73,0.33,1.3765,1.5843,1.8216,,2.8302,0.0,1.0904,-1.6245,-0.54,0.0,0.0,1.0,2.8
