date,close
20231116,17171.18
20231117,17208.95
20231120,17210.47
20231121,17416.7
20231122,17310.26
20231123,17294.55
20231124,17287.42
20231127,17137.42
20231128,17341.25
20231129,17370.56
20231130,17433.85
20231201,17438.35
20231204,17421.48
20231205,17328.01
20231206,17360.72
20231207,17278.74
20231208,17383.99
20231211,17418.34
20231212,17450.63
20231213,17468.93
20231214,17653.11
20231215,17673.87
20231218,17652.03
20231219,17576.55
20231220,17635.2
20231221,17543.74
20231222,17596.63
20231225,17604.84
20231226,17751.73
20231227,17891.5
20231228,17910.37
20231229,17930.81
20240102,17853.76
20240103,17559.31
20240104,17549.65
20240105,17519.14
20240108,17572.66
20240109,17535.49
20240110,17465.63
20240111,17545.32
20240112,17512.83
20240115,17546.82
20240116,17346.87
20240117,17161.79
20240118,17227.79
20240119,17681.52
20240122,17815.1
20240123,17874.59
20240124,17875.83
20240125,18002.62
20240126,17995.03
20240129,18119.63
20240130,18034.63
20240131,17889.56
20240201,17968.11
20240202,18059.93
20240205,18096.07
20240215,18644.57
20240216,18607.25
20240219,18635.8
20240220,18753.16
20240221,18676.31
20240222,18852.78
20240223,18889.19
20240226,18948.05
20240227,18854.41
20240229,18966.77
20240301,18935.93
20240304,19305.31
20240305,19386.92
20240306,19499.45
20240307,19693.52
20240308,19785.32
20240311,19726.08
20240312,19914.55
20240313,19928.51
20240314,19937.92
20240315,19682.5
20240318,19879.85
20240319,19857.2
20240320,19784.45
20240321,20199.09
20240322,20228.43
20240325,20192.25
20240326,20126.49
20240327,20200.12
20240328,20146.55
20240329,20294.45
20240401,20222.33
20240402,20466.57
20240403,20337.6
20240408,20417.7
20240409,20796.2
20240410,20763.53
20240411,20753.22
20240412,20736.57
20240415,20449.77
20240416,19901.96
20240417,20213.33
20240418,20301.2
20240419,19527.12
20240422,19411.22
20240423,19599.28
20240424,20131.74
20240425,19857.42
20240426,20120.51
20240429,20495.52
20240430,20396.6
20240502,20222.44
20240503,20330.32
20240506,20523.31
20240507,20653.53
20240508,20700.51
20240509,20560.77
20240510,20708.84
20240513,20857.71
20240514,20985.85
20240515,21147.21
20240516,21304.26
20240517,21258.47
20240520,21271.63
20240521,21236.75
20240522,21551.83
20240523,21607.43
20240524,21565.34
20240527,21803.77
20240528,21858.41
20240529,21662.5
20240530,21364.48
20240531,21174.22
20240603,21536.76
20240604,21356.62
20240605,21484.88
20240606,21902.7
20240607,21858.38
20240611,21792.12
20240612,22048.96
20240613,22312.04
20240614,22504.72
20240617,22496.53
20240618,22757.43
20240619,23209.54
20240620,23406.1
20240621,23253.39
20240624,22813.7
20240625,22875.97
20240626,22986.69
20240627,22905.98
20240628,23032.25
20240701,23058.57
20240702,22879.37
20240703,23172.43
20240704,23522.53
20240705,23556.59
20240708,23878.15
20240709,23900.08
20240710,24007.08
20240711,24390.03
20240712,23916.93
20240715,23879.36
20240716,23997.25
20240717,23769.82
20240718,23398.47
20240719,22869.26
20240722,22256.99
20240723,22871.84
20240726,22119.21
20240729,22164.49
20240730,22223.57
20240731,22199.35
20240801,22642.1
20240802,21638.09
20240805,19830.88
20240806,20501.02
20240807,21295.28
20240808,20870.1
20240809,21469.0
20240812,21773.26
20240813,21796.57
20240814,22027.25
20240815,21895.17
20240816,22349.33
20240819,22409.63
20240820,22429.1
20240821,22237.89
20240822,22148.83
20240823,22158.05
20240826,22240.12
20240827,22185.0
20240828,22370.66
20240829,22201.85
20240830,22268.09
20240902,22235.1
20240903,22092.21
20240904,21092.75
20240905,21187.71
20240906,21435.19
20240909,21144.44
20240910,21064.08
20240911,21031.0
20240912,21653.25
20240913,21759.65
20240916,21850.08
20240918,21678.84
20240919,22042.69
20240920,22159.42
20240923,22285.53
20240924,22431.78
20240925,22761.6
20240926,22858.81
20240927,22822.79
20240930,22224.54
20241001,22390.39
